TYPE,NAME,LONGITUDE,LATITUDE
CommunityCentre,North Wentworth Community Centre,-79.92254635,43.31294721
CommunityCentre,Ancaster Old Town Hall,-79.97626454,43.2255123
CommunityCentre,Ryerson Recreation Centre,-79.88235644,43.25381279
CommunityCentre,Sealey Park Scout Hall,-79.88922044,43.33081521
CommunityCentre,Sheffield Community Hall,-80.20074399,43.29704068
CommunityCentre,Sir Allan Macnab Recreation Centre,-79.92168666,43.23107007
CommunityCentre,Sir Wilfrid Laurier Recreation Centre,-79.78676166,43.2178171
CommunityCentre,Sir Winston Churchill Recreation Centre,-79.79571434,43.2375585
CommunityCentre,Stoney Creek Optomist Community Centre,-79.75852769,43.22574089
CommunityCentre,Redeemer Sports Complex,-79.95200162,43.2121063
CommunityCentre,Ancaster Senior Achievement Centre (Asac),-80.07058372,43.18453818
CommunityCentre,Valens Community Hall,-80.13089848,43.38286223
CommunityCentre,Valley Community Centre (Nigel Charlong),-79.90846575,43.3016607
CommunityCentre,Valley Park Rec Centre,-79.79810584,43.19290424
CommunityCentre,Waterdown Memorial Hall,-79.89259153,43.33408713
CommunityCentre,Westmount Recreation Centre,-79.89431613,43.22837266
CommunityCentre,Winona Scout Hall,-79.64564257,43.2096953
CommunityCentre,Winona Senior Citizen Centre,-79.65308487,43.20874439
CommunityCentre,Woodburn Centennial Hall,-79.74280634,43.14656891
CommunityCentre,Ymca - Hamilton Downtown Family,-79.86988423,43.25432327
CommunityCentre,Mountsberg Hall,-80.04209172,43.43422646
CommunityCentre,Sackville Hill Senior's Centre,-79.86260427,43.22447691
CommunityCentre,Spring Valley Community Centre,-79.99783953,43.21714491
CommunityCentre,Dominic Agostino Riverdale Community Centre,-79.75676735,43.23251479
CommunityCentre,Ymca - Flamborough Family,-79.91227132,43.33428596
CommunityCentre,Ywca - Hamilton Family - Macnab St,-79.87156481,43.25423089
CommunityCentre,Soccer World,-79.89413985,43.25721965
CommunityCentre,Mountain Sports Complex,-79.83707187,43.19887195
CommunityCentre,Players Paradise Sports Complex,-79.70248013,43.23107028
CommunityCentre,Lakeland Centre,-79.76832328,43.26209559
CommunityCentre,Stoney Creek Recreation Centre,-79.76306025,43.21763051
CommunityCentre,David Braley Athletic Centre,-79.91616539,43.26504364
CommunityCentre,Norman Pinky Lewis Recreation Centre,-79.84530807,43.25704669
CommunityCentre,Bernie Morelli Recreation Centre,-79.82997442,43.25004711
CommunityCentre,F.h. Sherman Recreation And Learning Centre,-79.75400704,43.19518011
CommunityCentre,Ymca - Les Chater Family,-79.87804501,43.19836189
CommunityCentre,Main Hess Senior Centre,-79.87764733,43.25603688
CommunityCentre,Ancaster Aquatic Centre,-80.00628298,43.2151688
CommunityCentre,Ancaster Rotary Centre,-80.00778934,43.21807225
CommunityCentre,Beasley Community Centre,-79.86178273,43.25805134
CommunityCentre,Bennetto Community Centre,-79.86093697,43.27008977
CommunityCentre,Beverly Community Centre,-80.11127818,43.2986764
CommunityCentre,Beverly Township Hall,-80.12663304,43.30047207
CommunityCentre,Binbrook Memorial Hall,-79.80403785,43.12300553
CommunityCentre,H.g. Brewster Pool,-79.71154334,43.21809991
CommunityCentre,Carlisle Community Centre,-79.98131996,43.3967785
CommunityCentre,Carlisle Memorial Hall,-79.98147986,43.3939429
CommunityCentre,Carluke Hall,-79.98547541,43.14540748
CommunityCentre,Central Memorial Recreation Centre,-79.85924282,43.24954329
CommunityCentre,"Ada Bland ""Club 60"" Senior Citizen Centre",-79.75834236,43.21735504
CommunityCentre,Dalewood Recreation Centre,-79.91315458,43.25836395
CommunityCentre,Dundas Community Pool,-79.96355633,43.26547443
CommunityCentre,Dundas Lions Memorial Community Centre,-79.9635936,43.26737906
CommunityCentre,Eastmount Community Centre,-79.84866004,43.23643372
CommunityCentre,Fruitland Lions Community Hall,-79.704599,43.21853664
CommunityCentre,Glanbrook Arena & Auditorium,-79.83872097,43.13002607
CommunityCentre,Greensville Hall,-79.98836484,43.27684613
CommunityCentre,Ywca - Hamilton Family - Ottawa St,-79.81884626,43.24396148
CommunityCentre,Hill Park Recreation Centre,-79.86312511,43.22781851
CommunityCentre,Huntington Park Recreation Centre,-79.82939339,43.22074723
CommunityCentre,Jimmy Thompson Pool,-79.83025856,43.24939123
CommunityCentre,East Kiwanis Boys & Girls Club,-79.81073839,43.24855415
CommunityCentre,Kiwanis Community Centre,-79.69127601,43.2134815
CommunityCentre,Ancaster Lion's Outdoor Pool,-79.99969967,43.2182325
CommunityCentre,Lynden Community Centre,-80.14621042,43.22657986
CommunityCentre,Millgrove Community Centre,-79.95942803,43.33515359
CommunityCentre,Mount Hope Community Hall/youth Centre,-79.91142878,43.16022469
CommunityCentre,Eva Rothwell Resource Centre,-79.84286449,43.26494955
Beach,Valens Conservation Area,-80.13962988,43.38361646
Beach,Christie Conservation Area,-80.02333845,43.28068864
Beach,Binbrook Conservation Area,-79.8330902,43.10163287
Beach,Bayfront Park,-79.87442364,43.27156254
Beach,Pier 4 Park,-79.86750593,43.27366276
Beach,Beach Boulevard,-79.78337488,43.28091547
Beach,Van Wagner's,-79.76755756,43.26175556
Beach,Confederation Park,-79.75648925,43.25187542
Arena,Mohawk 4 Ice Centre,-79.81712556,43.20947255
Arena,Beverly Arena,-80.11132698,43.29850976
Arena,Carlisle Arena,-79.98131996,43.3967785
Arena,Chedoke Twin Pad Arena,-79.92059943,43.23866962
Arena,FirstOntario Centre,-79.87219967,43.25913792
Arena,Coronation Arena,-79.89626048,43.26464412
Arena,Eastwood Arena,-79.8563298,43.27241885
Arena,Glanbrook Arena,-79.83870498,43.13003003
Arena,Hamilton Doublerink Arena,-79.78249455,43.24458137
Arena,Inch Park Arena,-79.85959604,43.23706517
Arena,Bill Friday Lawfield Arena,-79.85075118,43.21484012
Arena,J.L. Grightmire (Market Street) Arena,-79.96252182,43.26601388
Arena,Morgan Firestone Arena,-80.0076161,43.2180512
Arena,Mountain (Dave Andreychuk) Arena,-79.88123419,43.22516187
Arena,Harry Howell Arena,-79.9227884,43.31308838
Arena,Westoby (Olympic) Arena,-79.93426209,43.27287723
Arena,Pat Quinn Parkdale Arena,-79.79378837,43.23633026
Arena,Rosedale Arena,-79.80696013,43.21887587
Arena,Saltfleet Arena,-79.70484095,43.21796022
Arena,Spring Valley Arena,-79.99779878,43.21712083
Arena,Stoney Creek Arena,-79.76400581,43.2165319
Arena,Valley Park Arena,-79.79798204,43.19284948
Arena,Gateway Ice Centre,-79.69992694,43.22880903
Arena,Wentworth Arenas,-79.94595167,43.24783434
Arena,F.H. Sherman Recreation and Learning Centre Arena,-79.75438831,43.19566112
SplashPad,Highview Park,-79.83266954,43.22930302
SplashPad,Huntington Park (Recreation Centre),-79.82866501,43.22111843
SplashPad,Lisgar Park,-79.83081046,43.21053207
SplashPad,Macassa Park,-79.84677851,43.2237084
SplashPad,Mount Lions Park,-79.84535329,43.20320411
SplashPad,Templemead Park,-79.84483017,43.19663674
SplashPad,Trenholme Park,-79.82724153,43.20163712
SplashPad,Eastmount Park,-79.84836371,43.23624511
SplashPad,Eleanor Park,-79.85555946,43.19828109
SplashPad,Elmar Park,-79.87557712,43.2031897
SplashPad,Rushdale Park,-79.8637904,43.20962041
SplashPad,Gilkson Park,-79.91221678,43.22143822
SplashPad,Gourley Park,-79.9000608,43.21841234
SplashPad,Kennedy East Park,-79.90204047,43.20212037
SplashPad,Mountview Park,-79.92538957,43.2392824
SplashPad,Shawinigan Park,-79.92038585,43.22205106
SplashPad,William McCulloch Park,-79.90761683,43.22908364
SplashPad,Gage Park,-79.82985018,43.24310529
SplashPad,Billy Sherring Park,-79.86516779,43.19913817
SplashPad,Jack C. Beemer Park,-79.85526379,43.25516841
SplashPad,Churchill Park,-79.90340148,43.265184
SplashPad,Lawfield Park,-79.85032289,43.21463454
SplashPad,Fairgrounds Community Park,-79.81280696,43.12404919
SplashPad,Winona Park,-79.64635318,43.20958899
SplashPad,Village Green Park,-79.9758379,43.22486148
SplashPad,Dundas Driving Park,-79.9518138,43.27165345
SplashPad,Henry and Beatrice Warden Park,-79.75593073,43.22820035
SplashPad,Allison Neighbourhood Park,-79.88594915,43.19754682
SplashPad,Fairfield Park,-79.79901002,43.24795538
SplashPad,Hampton Park,-79.83625309,43.22312269
SplashPad,Jerome Neighbourhood Park,-79.87884259,43.21405406
SplashPad,North Central Community Park,-79.84362045,43.26560432
SplashPad,William Schwenger Park,-79.91402449,43.21240103
SplashPad,Myrtle Park,-79.84923224,43.24848407
SplashPad,H.A.A.A. Grounds,-79.88431007,43.25345503
SplashPad,Victoria Park,-79.88295261,43.26377013
SplashPad,Beasley Park,-79.86243805,43.25785759
SplashPad,Carter Park,-79.8601545,43.24865394
SplashPad,Central Park,-79.87342664,43.26395709
SplashPad,Eastwood Park (Arena),-79.85566753,43.27346123
SplashPad,McLaren Park,-79.86400037,43.26077482
SplashPad,Pier 4 Park,-79.86741173,43.27398355
SplashPad,Belview Park,-79.82258432,43.25018016
SplashPad,Lucy Day Park,-79.83358686,43.2577764
SplashPad,Powell Park,-79.8409419,43.25603729
SplashPad,Andy Warburton Memorial Park,-79.80255441,43.24521211
SplashPad,Montgomery Park,-79.80311979,43.2375529
SplashPad,Roxborough Park,-79.78638902,43.23631781
SplashPad,St. Christopher Park,-79.80859985,43.25406307
SplashPad,Woodward Park,-79.77732756,43.25011019
SplashPad,Father Sean O'Sullivan Memorial Park,-79.77678407,43.2170454
SplashPad,Glendale Park,-79.77902278,43.22385566
SplashPad,Sam Manson Park,-79.77066643,43.23293189
SplashPad,Veevers Park,-79.78375597,43.20934736
SplashPad,Berrisfield Park,-79.84001855,43.21083156
SplashPad,Broughton Park East,-79.84980051,43.18933239
