OBJECTID,NAME,OWNER_NAME,CLASSIFICATION,TYPE,AREA_HA,ZONING_CODE
239,Park Corridor #1,HAMILTON CITY,General Open Space,Passive,4.2489,P4
240,T.b. Mcquesten Park,HAMILTON CITY,Community,Sports,13.1533,P2
241,Thorner Park,HAMILTON CITY,Neighbourhood,Active,1.8006,P1
242,Rushdale Park,HAMILTON CITY,Neighbourhood,Active,1.3156,P1
441,Paramount Drive Open Space,HAMILTON CITY,General Open Space,,1.2372,P4
442,Winterberry Drive Open Space,HAMILTON CITY,General Open Space,,0.5069,P4
443,Open Space Beside Aylmer Parkette,HAMILTON CITY,General Open Space,,3.3372,P4
444,Maple Ave Open Space,HAMILTON CITY,General Open Space,,0.2336,P4
445,King Y Battlefield,HAMILTON CITY,General Open Space,,0.0625,P4
446,Escarpment Ward 5,CITY OF HAMILTON,Natural Open Space,Natural (T),8.6624,P5
447,Stone Church Meadowlands Open Space,HAMILTON CITY,General Open Space,,3.1003,P4
448,Joshua Ave Open Space,HAMILTON CITY,General Open Space,,0.6758,P4
449,Stone Church Rd Open Space,HAMILTON CITY,General Open Space,,4.3798,P4
450,Golf Links Rd. Open Space 2,HAMILTON CITY,General Open Space,,0.1395,P4
324,Normanhurst Community Centre,HAMILTON CITY,Community,Active,0.0906,P2
325,Escarpment Ward 4,HAMILTON CITY,Natural Open Space,Natural (T),10.2792,P5
326,Roxborough Park,HAMILTON CITY,Neighbourhood,Active,1.4546,P1
327,Hixon Road Park,HAMILTON CITY,Parkette,Active,0.4484,P1
328,Glendale Park,HAMILTON CITY,Neighbourhood,Active,2.0196,P1
329,Sam Manson Park,HAMILTON CITY,Community,Sports,6.0932,P2
330,Little League Park,HAMILTON CITY,Community,Sports,4.0913,P2
331,Green Acres Park,HAMILTON CITY,Community,Sports,5.4733,P2
332,Dover Park,HAMILTON CITY,Neighbourhood,Active,1.3718,P1
333,Trenholme Park,HAMILTON CITY,Neighbourhood,Active,4.4901,P1
334,Albion Estates Park,HAMILTON CITY,Neighbourhood,Passive,3.298,P1
335,Pineridge Park,HAMILTON CITY,Neighbourhood,,1.8206,P1
336,White Deer Park,HAMILTON CITY,Neighbourhood,Passive,1.5829,P1
337,Noble Kirk Park,CITY OF HAMILTON,Parkette,(null),0.1752,P1
338,Cline Park,HAMILTON CITY,Neighbourhood,Sports,2.6355,P1
339,Fairgrounds Community Park,CITY OF HAMILTON,Community,,4.7134,P2
340,Jackson Heights Park,HAMILTON CITY,Neighbourhood,,0.986,P1
341,St. Joseph Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,SCHOOL SITE,0.5241,
342,Southbrook Park,HAMILTON CITY,Neighbourhood,,1.2618,P1
343,Proposed,HAMILTON CITY,Utilities,,1.5679,
344,Tapleytown Park,HAMILTON CITY,Neighbourhood,Sports,2.6303,P1
345,87 Acres Park,HAMILTON CITY,Natural Open Space,Natural (T),39.8337,P5
346,Cherry Heights Park,HAMILTON CITY,Neighbourhood,Sports,3.403,P1
347,Sherwood Park,HAMILTON CITY,Community,Sports,7.6089,P2
348,Dewitt Park,HAMILTON CITY,Neighbourhood,Sports,2.1416,P1
349,Cenotaph Park,HAMILTON CITY,Parkette,Historical,0.112,P1
350,King Street Parkette,HAMILTON CITY,Parkette,Historical,0.4082,P1
351,Eastdale Park,HAMILTON CITY,Community,Sports,4.285,P2
352,Edgelake Park,HAMILTON CITY,Neighbourhood,Passive,1.3092,P1
353,Lawrence P. Sayers Park,HAMILTON CITY,Parkette,Passive,0.3392,P1
354,Riverdale East Park (Oaklands),CITY OF HAMILTON,Neighbourhood,Active,3.7445,P1
355,Dewitt Parkette,HAMILTON CITY,Parkette,,0.1401,P1
356,Fifty Road Parkette,HAMILTON CITY,Parkette,,0.1908,P1
357,John Watson Park,HAMILTON CITY,Natural Open Space,Natural (T),1.0118,P5
358,Bow Valley Open Space,HAMILTON CITY,Natural Open Space,Natural (T),21.126,P5
359,Ferris Park,HAMILTON CITY,Neighbourhood,Sports,4.2995,P1
360,Bayview West Park,HAMILTON CITY,Neighbourhood,Sports,2.3896,P1
361,Red Hill Valley,HAMILTON CITY,Natural Open Space,Natural (T),2.5439,P5
362,Woodward Park,HAMILTON CITY,Neighbourhood,Active,1.3163,P1
363,Brampton Street Park,HAMILTON CITY,Parkette,Passive,0.2276,P1
364,Glow Park,HAMILTON CITY,Parkette,Active,0.3744,P1
365,St. Helen's School Walkway,CITY OF HAMILTON,Natural Open Space,,0.4074,P5
366,Paramount Park,HAMILTON CITY,Neighbourhood,Sports,2.431,P1
367,Red Hill Valley,HAMILTON CITY,Natural Open Space,Natural (T),53.2799,P5
368,Red Hill Valley,HAMILTON CITY,Natural Open Space,Natural (T),0,P5
369,Red Hill Valley,HAMILTON CITY,Natural Open Space,Natural (T),0,P5
370,Sherwood Meadows Park,HAMILTON CITY,Neighbourhood,Passive,2.368,P1
371,Mapledene Park,HAMILTON CITY,Neighbourhood,Passive,1.5656,P1
372,John Willson Park,HAMILTON CITY,Neighbourhood,Passive,1.3941,P1
373,Community Park,HAMILTON CITY,Community,Sports,2.3913,P2
374,Felker Park,HAMILTON CITY,Neighbourhood,Sports,1.5922,P1
375,Maplewood Green Park,HAMILTON CITY,Neighbourhood,Passive,1.3048,P1
376,Aylmer Parkette,CITY OF HAMILTON,Parkette,,0.1748,P1
377,Glanbrook Sports Complex,HAMILTON CITY,City Wide,Sports,21.8287,P3
378,Summit Park,CITY OF HAMILTON,Neighbourhood,,2.1333,P1
379,Red Hill Summit East Park,MULTI-AREA DEVELOPMENTS INC,Neighbourhood,,2.0217,P1
380,Lakepoint Park,HAMILTON CITY,Neighbourhood,,1.4313,P1
381,Hunter Estates Park,HAMILTON CITY,Neighbourhood,Sports,5.2564,P1
382,Lakeview Dr Swm,HAMILTON CITY,Utilities,Passive,0.272,
383,Waterford Park,HAMILTON CITY,Neighbourhood,Sports,1.613,P1
384,Corman Park,HAMILTON CITY,Neighbourhood,Sports,1.5166,P1
385,Town Square Parkette,HAMILTON CITY,Parkette,Passive,0.174,P1
386,Memorial Park,HAMILTON CITY,Neighbourhood,Passive,4.0904,P1
387,Winona Park,HAMILTON CITY,Community,Sports,6.1064,P2
388,Woodburn Ball Park,HAMILTON CITY,Neighbourhood,Sports,1.6117,P1
389,Lake Vista Park,MATTAMY (WINONA) LIMITED,Neighbourhood,,0.6601,P1
390,Seabreeze Park,CITY OF HAMILTON,Neighbourhood,,1.0381,P1
391,Trillium Open Space,CITY OF HAMILTON,Natural Open Space,,0.2238,P5
392,Canada Marine Discovery Centre Open Space,PUBLIC WORKS CANADA,Museum,,3.2377,
393,Millen Road Parkette,HAMILTON CITY,Parkette,,0.1244,P1
394,Dundas Pool Arena,HAMILTON CITY,Community,,3.5034,P2
395,Strachan Street General Open Space,HAMILTON CITY,General Open Space,,2.4109,P4
396,Dundas Driving Park,HAMILTON CITY,Neighbourhood,Sports,0.9705,P1
397,Dundas Driving Park,HAMILTON CITY,City Wide,Sports,10.62,P3
398,York Rd Parkette,HAMILTON CITY,Parkette,,0.0647,P1
399,Oakridge/lindsay Open Space,CITY OF HAMILTON,Natural Open Space,,5.7879,P5
400,Glen Allen Drive Natural Open Space,CITY OF HAMILTON,Natural Open Space,,2.3138,P5
401,Barton St/lake Ave Open Space,CITY OF HAMILTON,Natural Open Space,,7.2867,P5
402,Greenhill Open Space #2,CITY OF HAMILTON,Natural Open Space,,2.8173,P5
403,Mill Street Open Space,HAMILTON CITY,Natural Open Space,,3.9383,P5
404,Talbot Lot,HAMILTON CITY,Parkette,Passive,0.0694,P1
405,Peachwood Parkette,HAMILTON CITY,Parkette,Passive,0.2981,P1
406,Glen Manor The Veevers Home,HAMILTON CITY,Museum,,0.5337,
407,Olmstead Site,HAMILTON CITY,General Open Space,,2.5208,P4
408,Mount Albion Open Space,HAMILTON CITY,Natural Open Space,,6.0722,P5
409,Highland Green Park,HAMILTON CITY,Natural Open Space,,3.4061,P5
410,Delottinville Park Open Space,HAMILTON CITY,Natural Open Space,Undeveloped,3.3486,P5
411,Olympic Sports Park 2,HAMILTON CITY,Community,,4.9967,P2
412,Strabane Community Park,HAMILTON CITY,Community,,3.4359,P2
413,Todd Ofield Memorial Park,HAMILTON CITY,Parkette,,0.2794,P1
414,Mountain Gate Proposed Natural Open Space,CITY OF HAMILTON,Natural Open Space,,1.0163,P5
415,Beach Blvd Park #2,HAMILTON CITY,Natural Open Space,,1.733,P5
416,Grays Road Parkette,HAMILTON CITY,Parkette,,0.0985,P1
417,Albion Falls Nghd Open Space,HAMILTON CITY,Natural Open Space,,21.4928,P5
418,Plateau Park,HAMILTON CITY,Parkette,Passive,0.3266,P1
419,Open Space By 7 Innovation,HAMILTON CITY,General Open Space,,7.8364,P4
420,Coreslab Dr Open Space,HAMILTON CITY,Natural Open Space,,2.7426,P5
421,Smokey Hollow Park,HAMILTON CITY,Neighbourhood,,2.1855,P1
422,Liuna Station Parkette,LIUNA GROUP CORPORATION,Parkette,,0.2434,P1
423,Beach Strip Open Space #2,HAMILTON CITY,Natural Open Space,,0.5009,P5
424,Carpenter Ave Open Space 1,HAMILTON CITY,General Open Space,,0.1827,P4
425,Carpenter Park Extension,HAMILTON CITY,Neighbourhood,Passive,1.0306,P1
426,York St,HAMILTON CITY,General Open Space,,0.2318,P4
427,King Street West General Open Space,HAMILTON CITY,General Open Space,,0.0474,P4
428,Hunter Street General Open Space,HAMILTON CITY,General Open Space,,0.0853,P4
429,Delottinville Park,HAMILTON CITY,Neighbourhood,,1.5108,P1
430,Turnball,HAMILTON CITY,Parkette,,0.8912,P1
431,Sanctuary,HAMILTON CITY,Neighbourhood,,0.2074,P1
432,Bayfront Trail,HAMILTON CITY,General Open Space,,8.2287,P4
433,Jackson Heights Open Space,CITY OF HAMILTON,Natural Open Space,,2.9951,P5
434,Binbrook Rd Open Space,CREIGHTON JOHN KEITH,Natural Open Space,,18.2306,P5
435,Laidman Park,HAMILTON CITY,Neighbourhood,,1.7683,P1
436,Summerlea West Park,DJUKIC URSULA,Neighbourhood,,2.0897,P1
437,Escarpment Ward 5,CITY OF HAMILTON,Natural Open Space,Natural (T),11.2938,P5
438,Birch Avenue Leash-Free Area,CITY OF HAMILTON,General Open Space,Dog Park,0.6925,
439,Hill Street Community Gardens,CITY OF HAMILTON,Parkette,,0.2328,
440,Glenhollow Open Space,HAMILTON CITY,General Open Space,,2.3175,P4
465,Open Space By North Wentworth Pk 1,HAMILTON CITY,Natural Open Space,,0.9261,P5
466,Open Space By North Wentworth Pk 2,HAMILTON CITY,Natural Open Space,,4.7564,P5
467,Open Space By North Wentworth Pk 3,HAMILTON CITY,Natural Open Space,,15.4906,P5
468,Tapleytown Men's Club Park,HAMILTON CITY,Neighbourhood,Sports,2.0212,P1
469,Garry Hill Memorial Park,HAMILTON CITY,Parkette,,0.0684,P1
470,Harvey Park,HAMILTON CITY,General Open Space,Passive,2.4208,P4
471,Troy Tot Lot,CITY OF HAMILTON,Parkette,(null),0.0892,P1
472,Mountsberg Park,CITY OF HAMILTON,Neighbourhood,,1.0188,P1
473,Ryckmans Neighbourhood Park,HAMILTON-WENTWORTH DISTRICT,Neighbourhood,,1.3386,P1
474,Binbrook Park,HAMILTON CITY,Community,Miscellaneous (T),2.1586,P2
475,Heritage Green Sports Park,CITY OF HAMILTON,City Wide,Sports,32.5631,P3
476,Ancaster Arbour Parkette,CITY OF HAMILTON,Parkette,,0.4047,P1
477,York Blvd Parkette,HAMILTON CITY,General Open Space,,0.1251,P4
478,York Blvd Parkette 2,HAMILTON CITY,General Open Space,,0.1771,P4
479,Bill Foley Parkette,HAMILTON CITY,Parkette,,0.322,P1
480,St.helen's/st.peters Walkway,HAMILTON CITY,Natural Open Space,,1.7091,P5
481,Summerbrook Park,HAMILTON CITY,Parkette,,0.1396,P1
482,Perth Park Open Space,HAMILTON CITY,Natural Open Space,,0.256,P5
483,Fairfield Park,CITY OF HAMILTON,Neighbourhood,(null),0.9725,P1
484,Peace Park,HAMILTON CITY,Neighbourhood,,0.4084,P1
485,Cochrane Parkette,HAMILTON CITY,Parkette,,0.0215,P1
486,Volunteer Field Park,HAMILTON CITY,Community,,1.9339,
487,Perth Park,HAMILTON CITY,Neighbourhood,,0.7712,P1
488,Balfour Park,City of Hamilton,Parkette,Walkway,0.1732,
489,Winona Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,4.0352,
490,Faircourt Park,HAMILTON CITY,Natural Open Space,Passive,2.2624,P5
491,Hopkins Rotary Park,HAMILTON CITY,Neighbourhood,Passive,0.4585,P1
492,Cherry Beach,CITY OF HAMILTON,Natural Open Space,,0.989,
493,,CITY OF HAMILTON,Parkette,,0.3105,
494,Red Hill Valley,HAMILTON CITY,Natural Open Space,Natural (T),37.5144,P5
495,Escarpment Ward 5,CITY OF HAMILTON,Natural Open Space,,13.5613,P5
496,Carlisle Walkway,CITY OF HAMILTON,General Open Space,(null),0.127,P4
497,Pleasant Avenue Parkette,CITY OF HAMILTON,Parkette,,0.0905,
498,Tower Park,HAMILTON CITY,Neighbourhood,,1.3843,P1
499,Stinson Street Playground,HAMILTON-WENTWORTH DISTRICT,Parkette,SCHOOL SITE,0.042,
500,Beach Strip Open Space - Confederation Park,HAMILTON CITY,Natural Open Space,Undeveloped,10.8963,P5
501,Beach Strip Open Space,HAMILTON CITY,Natural Open Space,Undeveloped,24.696,P5
535,Delta Secondary,HAMILTON-WENTWORTH DISTRICT,School Site,,2.491,
536,Queen Victoria Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,1.2642,
537,Sir John A. Macdonald Secondary,HAMILTON-WENTWORTH DISTRICT,School Site,,3.2493,
538,Beverly Central  Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,1.5886,
539,Canadian Martyrs' Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,1.1216,
540,St. Gabriel Elementary,HAMILTON-WENTWORTH CATHOLIC,School Site,,2.2929,
541,Sacred Heart Of Jesus,HAMILTON-WENTWORTH ROMAN CAT,School Site,,0.464,
542,St. Ann Elementary (Hamilton),HAMILTON-WENTWORTH ROMAN CAT,School Site,,0.3037,
543,Viscount Montgomery Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,2.6812,
544,Cathy Weaver Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,2.2981,
545,Holy Name Of Mary Elementary,HAMILTON-WENTWORTH CATHOLIC,School Site,,4.0255,
546,Norwood Park Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,2.2235,
547,Ancaster Senior/fessenden Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,8.2107,
548,St. Thomas The Apostle Elementary,HAMILTON-WENTWORTH CATHOLIC,School Site,,2.3734,
549,St. Teresa Of Avila Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,1.2259,
550,St. Teresa Of Avila Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,0.1362,
551,St. Thérèse Of Lisieux Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,4.338,
552,Holy Name Of Jesus Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,0.6301,
553,Bishop Ryan Secondary,HAMILTON-WENTWORTH CATHOLIC,School Site,,7.3251,
502,Dofasco Property,CITY OF HAMILTON,Parkette,Passive,0.0657,P1
503,Bishop Tonnos Secondary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,6.0941,
504,Vincent Massey Park,HAMILTON CITY,Neighbourhood,,0.9844,
505,Tim Hortons Field,HAMILTON CITY,City Wide,Sports,5.4526,P3
506,Red Hill Valley,HAMILTON CITY,Natural Open Space,Natural (T),17.0545,P5
507,King's Forest Golf Course,HAMILTON CITY,General Open Space,Sports,105.6014,P4
508,Escarpment Ward 1,HAMILTON CITY,Natural Open Space,Natural (T),14.186,P5
509,Chedoke Golf Course,HAMILTON CITY,General Open Space,Sports,124.0188,P4
510,Escarpment Rail Trail,CITY OF HAMILTON,General Open Space,Trail,5.482,P4
511,Smokey Hollow Open Space,City of Hamilton,Natural Open Space,,1.853,
512,Cranberry Park,MATTAMY (WATERDOWN) LIMITED,Neighbourhood,,2.0278,P1
513,Westdale North Open Space,ROYAL BOTANICAL GARDENS,Natural Open Space,Natural (T),24.8286,P5
514,Churchill Gardens/aviary,ROYAL BOTANICAL GARDENS CHUR,General Open Space,Miscellaneous (T),4.5586,P4
515,Golf Links Park #1,HAMILTON CITY,Neighbourhood,Passive,2.4249,P1
516,Helen Detwiler Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,3.651,
517,St. David Elementary,HAMILTON-WENTWORTH CATHOLIC,School Site,,2.2854,
518,St. Luke Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,1.3263,
519,Bellmoore Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,3.2397,
520,Ancaster High School,HAMILTON-WENTWORTH DISTRICT,School Site,,17.3116,
521,Millgrove Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,1.4531,
522,Tapleytown Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,2.3223,
523,Hillcrest Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,2.2884,
524,St. Mark Elementary,HAMILTON-WENTWORTH CATHOLIC,School Site,,1.9043,
525,St. Thomas More Secondary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,7.9202,
526,Highview Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,1.7782,
527,Hess Street Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,0.7219,
528,Gordon Price Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,2.2294,
529,Billy Green  Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,1.728,
530,St. John The Baptist Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,0.427,
531,Dalewood  Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,1.8987,
532,St. Eugene Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,1.0045,
533,Gatestone Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,1.8758,
534,Dr. J. Seaton Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,5.8201,
451,Golf Links Rd. Open Space 3,HAMILTON CITY,General Open Space,,0.1413,P4
452,Golf Links Rd. Open Space 1,HAMILTON CITY,General Open Space,,0.5728,P4
453,Hamilton Court House,HAMILTON CITY,General Open Space,,0.3229,P4
454,Hill Park Recreation,HAMILTON CITY,Community,,0.2026,P2
455,Open Space By North Wentworth Pk 4,HAMILTON CITY,Natural Open Space,,3.4523,P5
456,Rockcliffe Gardens,HAMILTON CITY,Neighbourhood,Sports,1.6191,P1
457,Rockcliffe Gardens,HAMILTON CITY,General Open Space,Sports,1.5076,P4
458,Huntingwood Ave Open Space,HAMILTON CITY,Natural Open Space,,3.4244,P5
459,Escarpment Open Space,CITY OF HAMILTON,Natural Open Space,,14.6998,P5
460,Escarpment Open Space,CITY OF HAMILTON,Natural Open Space,,2.4862,P5
461,Matilda Street Natural Playground,HAMILTON CITY,Neighbourhood,Playground,0.1035,P1
462,Leisure Park Open Space,TOWN OF FLAMBOROUGH,Natural Open Space,,30.5398,P5
463,Joe Sams Leisure Park,TOWN OF FLAMBOROUGH,City Wide,,43.3634,P3
464,Flamborough Centre Park,HAMILTON CITY,Neighbourhood,Sports,4.7935,P1
554,St. Clare Of Assisi Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,1.3334,
555,Queen's Rangers Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,3.0867,
556,Immaculate Heart Of Mary Elementary,1445488 ONTARIO INC,School Site,,2.0338,
557,St. Marguerite D'youville Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,1.5135,
558,St. Patrick Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,0.4866,
559,R. L. Hyslop Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,0.8838,
560,St. Jean De Brébeuf Secondary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,7.7756,
561,Mary Hopkins Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,2.1142,
562,St. Mary Secondary Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,5.8965,
563,St. Matthew Elementary,HAMILTON-WENTWORTH CALTHOLIC,School Site,,2.15,
564,Memorial Stoney Creek Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,2.5632,
565,École Élémentaire Michaëlle Jean,HAMILTON-WENTWORTH DISTRICT,School Site,,3.2387,
566,Allan A. Greenleaf Elementary And Waterdown Distri,HAMILTON-WENTWORTH DISTRICT,School Site,,8.0198,
567,St. Kateri Tekakwitha Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,1.8043,
568,St. Brigid Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,0.518,
569,Ryerson Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,0.9425,
570,Dundana Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,2.4127,
571,St. Paul Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,1.4142,
572,St. Ann Elementary (Ancaster),HAMILTON-WENTWORTH CATHOLIC,School Site,,1.1128,
573,Corpus Christi Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,1.7083,
574,St. Augustine Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,0.9828,
575,St. Margaret Mary Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,0.8094,
576,Annunciation Of Our Lord Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,2.2713,
577,Tiffany Hills Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,2.524,
578,Ray Lewis Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,3.2374,
579,St. Bernadette Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,1.9934,
580,Westdale Secondary School,HAMILTON-WENTWORTH DISTRICT,School Site,(null),4.604,
581,Balaclava Elementary School,HAMILTON-WENTWORTH DISTRICT,School Site,,4.0543,
582,St. James The Apostle Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,1.4209,
583,Janet Lee Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,2.0245,
584,Our Lady Of Mount Carmel Elementary,HAMILTON WENTWORTH CATHOLIC,School Site,(null),,
585,St. Francis Xavier Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,1.8106,
586,Buchanan Park Elementary School,HAMILTON-WENTWORTH DISTRICT,School Site,,2.505,
587,Cathedral High School,HAMILTON-WENTWORTH ROMAN CAT,School Site,,2.6601,
588,Spencer Valley Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,3.438,
589,Blessed Sacrament Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,1.6201,
590,Dundas Valley Secondary,HAMILTON-WENTWORTH DISTRICT,School Site,,6.5457,
591,Holbrook Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,0.913,
592,Green Acres Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,1.8432,
593,Benetto Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,1.903,
594,Immaculate Conception Elementary,HAMILTON-WENTWORTH CATHOLIC,School Site,,2.6284,
595,Guy B. Brown Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,2.0231,
596,St. Martin Of Tours Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,1.6337,
597,St. John Paul Ii Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,2.7289,
598,Queensdale Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,1.8711,
599,Regina Mundi Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,1.9056,
600,Pauline Johnson Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,3.7267,
601,Guardian Angels Elementary,HAMILTON-WENTWORTH CATHOLIC,School Site,,5.0188,
602,Franklin Road Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,2.6716,
603,Dundas Central Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,0.97,
604,St. Anthony Daniel Elementary,HAMILTON-WENTWORTH CATHOLIC,School Site,,1.5813,
605,St. Joachim Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,2.128,
606,Sts. Peter And Paul Elementary Shool And St. Charl,HAMILTON-WENTWORTH ROMAN CAT,School Site,,2.1819,
607,Nora Frances Henderson Secondary,HAMILTON-WENTWORTH DISTRICT,School Site,,6.0421,
608,Prince Of Wales Elementary,HAMILTON-WENTWORTH DISTRICT,,,0.417,
609,St. Agnes Elementary,HAMILTON-WENTWORTH ROMAN CAT,School Site,,1.7188,
610,W. H. Ballard Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,1.0943,
611,Yorkview Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,2.0322,
612,Mount Hope Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,3.497,
613,Flamborough Centre Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,3.9292,
614,Ancaster Meadow Elementary School,HAMILTON-WENTWORTH DISTRICT,School Site,,2.4167,
615,C.h. Bray Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,2.3255,
616,Dr. J.e. Davey Elementary,HAMILTON-WENTWORTH DISTRICT,School Site,,0.8678,
